Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,2:07.406,3,Daniel Ricciardo
3,16:43.884,3,Daniel Ricciardo
4,1:20.239,3,Daniel Ricciardo
5,1:19.090,3,Daniel Ricciardo
6,1:39.733,3,Daniel Ricciardo
7,1:18.706,3,Daniel Ricciardo
8,1:41.833,3,Daniel Ricciardo
9,1:18.462,3,Daniel Ricciardo
10,1:38.731,3,Daniel Ricciardo
11,19:59.545,3,Daniel Ricciardo
12,1:17.243,3,Daniel Ricciardo
13,1:53.105,3,Daniel Ricciardo
14,1:25.878,3,Daniel Ricciardo
15,1:17.200,3,Daniel Ricciardo
16,1:41.354,3,Daniel Ricciardo
17,1:17.241,3,Daniel Ricciardo
18,1:28.599,3,Daniel Ricciardo
19,16:53.910,3,Daniel Ricciardo
20,1:22.718,3,Daniel Ricciardo
21,1:23.309,3,Daniel Ricciardo
22,1:21.591,3,Daniel Ricciardo
23,1:22.486,3,Daniel Ricciardo
24,1:21.496,3,Daniel Ricciardo
25,1:21.343,3,Daniel Ricciardo
26,1:21.520,3,Daniel Ricciardo
27,1:22.547,3,Daniel Ricciardo
28,1:31.656,3,Daniel Ricciardo
1,,4,Lando Norris
2,1:28.240,4,Lando Norris
3,17:22.268,4,Lando Norris
4,,4,Lando Norris
5,1:20.154,4,Lando Norris
6,1:35.317,4,Lando Norris
7,1:19.189,4,Lando Norris
8,1:39.067,4,Lando Norris
9,1:20.174,4,Lando Norris
10,1:39.364,4,Lando Norris
11,1:19.284,4,Lando Norris
12,1:29.312,4,Lando Norris
13,17:20.161,4,Lando Norris
14,1:29.320,4,Lando Norris
15,1:17.523,4,Lando Norris
16,1:44.651,4,Lando Norris
17,1:17.688,4,Lando Norris
18,1:46.994,4,Lando Norris
19,1:28.243,4,Lando Norris
20,13:08.817,4,Lando Norris
21,1:54.948,4,Lando Norris
22,1:21.756,4,Lando Norris
23,1:22.427,4,Lando Norris
24,1:23.266,4,Lando Norris
25,1:24.161,4,Lando Norris
26,1:29.318,4,Lando Norris
1,,5,Sebastian Vettel
2,20:39.729,5,Sebastian Vettel
3,1:20.616,5,Sebastian Vettel
4,1:19.032,5,Sebastian Vettel
5,1:42.268,5,Sebastian Vettel
6,1:29.450,5,Sebastian Vettel
7,1:28.074,5,Sebastian Vettel
8,1:39.159,5,Sebastian Vettel
9,1:19.094,5,Sebastian Vettel
10,1:35.665,5,Sebastian Vettel
11,1:18.408,5,Sebastian Vettel
12,1:36.875,5,Sebastian Vettel
13,17:12.647,5,Sebastian Vettel
14,1:17.327,5,Sebastian Vettel
15,1:44.292,5,Sebastian Vettel
16,1:30.889,5,Sebastian Vettel
17,1:17.238,5,Sebastian Vettel
18,1:40.384,5,Sebastian Vettel
19,2:24.992,5,Sebastian Vettel
20,18:29.075,5,Sebastian Vettel
21,1:54.818,5,Sebastian Vettel
22,1:23.613,5,Sebastian Vettel
23,1:22.347,5,Sebastian Vettel
24,1:22.975,5,Sebastian Vettel
25,1:20.920,5,Sebastian Vettel
26,1:31.522,5,Sebastian Vettel
1,,6,Nicholas Latifi
2,19:45.992,6,Nicholas Latifi
3,1:21.422,6,Nicholas Latifi
4,1:49.393,6,Nicholas Latifi
5,1:19.027,6,Nicholas Latifi
6,1:43.849,6,Nicholas Latifi
7,1:18.175,6,Nicholas Latifi
8,1:51.801,6,Nicholas Latifi
9,1:43.672,6,Nicholas Latifi
10,2:05.233,6,Nicholas Latifi
11,16:55.549,6,Nicholas Latifi
12,1:20.540,6,Nicholas Latifi
13,1:43.384,6,Nicholas Latifi
14,1:18.678,6,Nicholas Latifi
15,1:47.874,6,Nicholas Latifi
16,1:47.439,6,Nicholas Latifi
17,,6,Nicholas Latifi
18,1:46.284,6,Nicholas Latifi
19,1:18.879,6,Nicholas Latifi
20,1:35.874,6,Nicholas Latifi
21,2:01.436,6,Nicholas Latifi
22,9:25.118,6,Nicholas Latifi
23,1:23.499,6,Nicholas Latifi
24,1:22.488,6,Nicholas Latifi
25,1:22.311,6,Nicholas Latifi
26,1:22.315,6,Nicholas Latifi
27,1:22.409,6,Nicholas Latifi
28,1:22.538,6,Nicholas Latifi
29,1:26.115,6,Nicholas Latifi
30,1:22.189,6,Nicholas Latifi
31,1:34.883,6,Nicholas Latifi
1,,8,Romain Grosjean
2,18:57.094,8,Romain Grosjean
3,1:20.112,8,Romain Grosjean
4,1:35.377,8,Romain Grosjean
5,1:19.173,8,Romain Grosjean
6,1:39.570,8,Romain Grosjean
7,1:18.985,8,Romain Grosjean
8,1:44.343,8,Romain Grosjean
9,1:19.026,8,Romain Grosjean
10,1:29.402,8,Romain Grosjean
11,1:18.609,8,Romain Grosjean
12,1:35.319,8,Romain Grosjean
13,12:32.075,8,Romain Grosjean
14,1:18.816,8,Romain Grosjean
15,1:43.245,8,Romain Grosjean
16,1:17.932,8,Romain Grosjean
17,1:46.988,8,Romain Grosjean
18,1:17.890,8,Romain Grosjean
19,1:41.065,8,Romain Grosjean
20,1:18.296,8,Romain Grosjean
21,1:34.762,8,Romain Grosjean
22,12:49.546,8,Romain Grosjean
23,1:22.407,8,Romain Grosjean
24,1:21.975,8,Romain Grosjean
25,1:22.498,8,Romain Grosjean
26,1:22.249,8,Romain Grosjean
27,1:23.655,8,Romain Grosjean
28,1:25.820,8,Romain Grosjean
29,1:22.522,8,Romain Grosjean
30,1:23.859,8,Romain Grosjean
31,1:23.098,8,Romain Grosjean
32,1:22.960,8,Romain Grosjean
33,1:24.281,8,Romain Grosjean
34,1:23.705,8,Romain Grosjean
35,1:43.100,8,Romain Grosjean
1,,11,Sergio Pérez
2,1:30.637,11,Sergio Pérez
3,16:50.762,11,Sergio Pérez
4,1:21.926,11,Sergio Pérez
5,1:19.136,11,Sergio Pérez
6,1:18.952,11,Sergio Pérez
7,1:35.030,11,Sergio Pérez
8,1:36.573,11,Sergio Pérez
9,1:23.514,11,Sergio Pérez
10,1:18.085,11,Sergio Pérez
11,1:27.563,11,Sergio Pérez
12,1:18.346,11,Sergio Pérez
13,1:21.514,11,Sergio Pérez
14,1:29.399,11,Sergio Pérez
15,13:29.633,11,Sergio Pérez
16,1:16.661,11,Sergio Pérez
17,1:46.072,11,Sergio Pérez
18,1:16.530,11,Sergio Pérez
19,1:46.291,11,Sergio Pérez
20,2:09.676,11,Sergio Pérez
1,,16,Charles Leclerc
2,20:30.036,16,Charles Leclerc
3,1:20.112,16,Charles Leclerc
4,1:19.287,16,Charles Leclerc
5,1:18.803,16,Charles Leclerc
6,1:45.214,16,Charles Leclerc
7,1:18.553,16,Charles Leclerc
8,1:35.759,16,Charles Leclerc
9,1:34.548,16,Charles Leclerc
10,1:18.427,16,Charles Leclerc
11,1:18.285,16,Charles Leclerc
