Lap,Time,No.,Driver
1,,3,Daniel Ricciardo
2,6:58.520,3,Daniel Ricciardo
3,9:47.200,3,Daniel Ricciardo
4,1:31.407,3,Daniel Ricciardo
5,1:31.362,3,Daniel Ricciardo
6,1:55.261,3,Daniel Ricciardo
7,8:03.684,3,Daniel Ricciardo
8,,3,Daniel Ricciardo
9,1:30.976,3,Daniel Ricciardo
10,1:47.845,3,Daniel Ricciardo
11,14:58.872,3,Daniel Ricciardo
12,1:28.511,3,Daniel Ricciardo
13,2:28.679,3,Daniel Ricciardo
14,1:28.577,3,Daniel Ricciardo
15,1:51.151,3,Daniel Ricciardo
16,2:11.134,3,Daniel Ricciardo
17,22:21.523,3,Daniel Ricciardo
18,1:34.684,3,Daniel Ricciardo
19,1:34.482,3,Daniel Ricciardo
20,1:34.473,3,Daniel Ricciardo
21,1:34.088,3,Daniel Ricciardo
22,2:00.848,3,Daniel Ricciardo
23,2:01.834,3,Daniel Ricciardo
1,,4,Lando Norris
2,2:09.094,4,Lando Norris
3,8:35.602,4,Lando Norris
4,2:04.713,4,Lando Norris
5,12:59.050,4,Lando Norris
6,1:28.082,4,Lando Norris
7,2:24.995,4,Lando Norris
8,,4,Lando Norris
9,2:36.582,4,Lando Norris
10,1:28.218,4,Lando Norris
11,1:45.421,4,Lando Norris
12,18:24.848,4,Lando Norris
13,1:27.846,4,Lando Norris
14,2:18.088,4,Lando Norris
15,2:01.753,4,Lando Norris
16,1:28.396,4,Lando Norris
17,1:49.265,4,Lando Norris
18,9:26.690,4,Lando Norris
19,1:32.849,4,Lando Norris
20,1:33.167,4,Lando Norris
21,1:33.570,4,Lando Norris
22,1:33.794,4,Lando Norris
23,1:34.178,4,Lando Norris
24,1:44.404,4,Lando Norris
25,6:23.089,4,Lando Norris
26,2:41.057,4,Lando Norris
1,,5,Sebastian Vettel
2,1:28.520,5,Sebastian Vettel
3,2:09.410,5,Sebastian Vettel
4,1:54.463,5,Sebastian Vettel
5,1:27.962,5,Sebastian Vettel
6,2:14.409,5,Sebastian Vettel
